Step,A* + UNet + IL,Weighted A* + UNet + IL,A* + Unet,Weighted A* + Unet,A* + CNN + IL,A* + CNN,Weighted A* + CNN +IL,Weighted A* + CNN
284,45.84751892,58.11992264,76.46969604,78.59434509,54.44439316,66.55450439,60.75627136,75.27377319
286,55.74613953,66.91140747,75.33692169,75.10696411,65.00410461,71.71102905,71.22485352,75.82331085
287,55.41979599,67.45461273,77.37063599,76.61752319,65.51885223,77.87992859,68.6618576,72.91497803
288,56.31626129,68.43267059,71.60624695,80.57419586,67.02581787,72.97121429,69.72415924,74.54676819
289,54.12001038,64.89337158,77.84203339,77.21279907,65.33778381,68.88391113,66.71405792,71.89261627
290,55.34911346,68.41719055,74.92485046,77.81535339,64.73052216,71.98005676,70.32902527,72.24504852
292,68.71160889,65.22548676,70.14354706,66.69520569,66.8948822,66.14588165,67.77561951,67.15499878
293,72.01873779,64.27902985,70.43011475,69.48722839,66.5438385,69.55434418,65.27350616,68.23834991
294,69.57027435,65.81712341,69.9744339,66.48683929,64.18450165,67.58733368,66.66744995,69.72833252
295,68.84401703,65.42100525,71.0585556,67.75878906,70.91598511,69.06863403,64.94032288,68.1881485
296,67.99320221,67.6337204,71.67338562,69.01992798,66.6204071,64.56272888,64.8681488,63.71294022
300,50.30780029,66.97407532,83.76096344,78.23657227,62.47730637,79.51452637,70.47632599,83.33791351
301,45.10189819,70.82212067,92.77223206,88.19252014,63.0297966,80.78468323,73.02822876,93.61113739
302,35.23574066,66.13871002,90.74936676,86.43827057,61.94180679,80.20027161,71.64638519,82.98003387
303,43.32446289,65.70678711,99.87464142,86.98700714,65.79869843,79.15711212,72.88450623,87.83855438
304,44.99079514,70.79930115,106.6502762,93.92498779,72.34777069,81.57846832,67.9068985,84.05453491
306,68.16346741,75.85214996,77.37963104,78.34604645,77.3860321,76.79482269,74.83303833,75.21811676
307,68.44075012,74.1372757,81.14785004,73.96576691,72.31843567,78.30111694,75.17690277,75.29045868
308,69.73823547,76.71175385,82.03227997,81.26756287,73.71634674,81.14868927,76.67992401,76.87442017
309,63.51383972,74.01390076,78.53730011,77.08548737,71.04904175,77.54257202,74.33303833,76.84309387
310,69.17644501,70.68629456,79.68623352,78.95265198,72.98929596,75.62345886,76.67794037,78.10301971
312,63.07227325,73.33190155,82.23715973,76.98084259,69.67485809,78.21733856,73.97122955,77.80515289
313,66.03919983,71.8796463,76.44743347,76.54892731,70.63994598,75.54429626,76.07020569,73.75786591
314,60.32289124,72.93256378,78.5117569,76.68566132,71.6632843,75.03029633,76.7641983,75.39925385
315,60.19391251,72.73999023,75.09033203,75.08465576,77.40135956,77.14051056,78.83269501,75.42643738
316,60.83111954,75.61722565,74.17909241,77.72720337,72.07590485,77.01358032,73.28065491,78.39226532
318,62.2028923,71.95729065,76.74755096,76.06806946,74.1982193,76.40112305,77.82740784,75.52497101
319,68.07099915,76.18466187,78.06477356,75.61357117,70.6662674,77.18585205,75.96403503,80.07762909
320,60.92276001,68.74903107,78.97792053,75.47203827,71.92359161,74.69335175,74.8391037,77.88127899
321,64.81124878,72.30282593,76.53162384,78.19782257,72.72823334,75.22756958,74.68325043,75.77927399
322,62.49573517,75.43115997,77.87294769,77.45796204,70.23355865,76.53407288,74.26716614,80.78762054
324,67.98239899,70.94532013,75.55233765,73.55579376,75.18378448,73.16766357,71.37123871,73.80130768
325,66.36663818,71.52471161,75.52398682,71.76228333,72.8872757,71.93266296,74.54899597,71.8469696
326,66.76643372,69.88523865,76.25925446,74.34033966,71.58813477,77.80236816,75.13319397,73.81375122
327,61.91755295,71.11680603,77.23419189,72.41999054,72.46448517,72.36620331,73.91608429,75.01495361
328,64.70291138,71.62731934,75.20343018,72.82860565,71.99537659,72.80401611,72.34712982,72.25892639
330,45.4264183,58.56550598,75.12239838,71.97386169,54.69513321,74.12806702,66.96945953,73.71809387
331,49.05156708,57.95702362,75.64938354,75.14997864,55.30826569,69.98439026,64.01652527,76.5210495
332,47.28593063,56.86976624,76.39155579,75.55271912,52.72901917,68.81723022,64.14777374,74.29999542
333,45.36062241,60.91248322,77.2429657,75.74694061,57.78944397,66.63578033,65.40643311,69.93700409
334,48.07511139,54.78216934,79.44386292,83.69338226,57.41975403,73.11262512,64.96916199,75.79331207
336,52.66295624,66.0408783,79.57085419,72.05639648,65.75701904,76.49247742,69.68930054,74.3139267
